cpu,memory,configured_layers,traffic_ratio,circuit_breaker,start,end,attempt
2000m,2000Mi,3,0.8,20,1631940645696,1631940945757,0
2000m,2000Mi,3,0.8,20,1631940945700,1631941245756,1
2000m,2000Mi,3,0.8,20,1631941245702,1631941545765,2
2000m,2000Mi,3,0.8,20,1631941545707,1631941845827,3
2000m,2000Mi,3,0.8,20,1631941845770,1631942145837,4
2000m,2000Mi,all,0.8,20,1631942506536,1631943693607,0
2000m,2000Mi,all,0.8,20,1631943693552,1631944954498,1
2000m,2000Mi,all,0.8,20,1631944954444,1631945254500,2
2000m,2000Mi,all,0.8,20,1631945254442,1631945554493,3
2000m,2000Mi,all,0.8,20,1631945554437,1631945854541,4
2000m,2000Mi,1,0.8,1024,1631945939022,1631946239084,0
2000m,2000Mi,1,0.8,1024,1631946239027,1631947530070,1
2000m,2000Mi,1,0.8,1024,1631947530169,1631948808233,2
2000m,2000Mi,1,0.8,1024,1631948808182,1631949108243,3
2000m,2000Mi,1,0.8,1024,1631949108185,1631949408247,4
2000m,2000Mi,2,0.8,1024,1631949528465,1631949828528,0
2000m,2000Mi,2,0.8,1024,1631949828470,1631950128531,1
2000m,2000Mi,2,0.8,1024,1631950128473,1631951389101,2
2000m,2000Mi,2,0.8,1024,1631951389050,1631952613383,3
2000m,2000Mi,2,0.8,1024,1631952613326,1631952913389,4
2000m,2000Mi,3,0.8,1024,1631953142622,1631953442683,0
2000m,2000Mi,3,0.8,1024,1631953442626,1631953742671,1
2000m,2000Mi,3,0.8,1024,1631953742614,1631954042671,2
2000m,2000Mi,3,0.8,1024,1631954042614,1631955843501,3
2000m,2000Mi,3,0.8,1024,1631955843597,1631956143671,4
2000m,2000Mi,all,0.8,1024,1631956522798,1631956822873,0
2000m,2000Mi,all,0.8,1024,1631956822820,1631957122879,1
2000m,2000Mi,all,0.8,1024,1631957122826,1631957422886,2
2000m,2000Mi,all,0.8,1024,1631957422832,1631957722889,3
2000m,2000Mi,all,0.8,1024,1631957722832,1631958022883,4
2000m,2000Mi,1,1,1,1631958263400,1631958563460,0
2000m,2000Mi,1,1,1,1631958563404,1631958863458,1
2000m,2000Mi,1,1,1,1631958863401,1631959163459,2
2000m,2000Mi,1,1,1,1631959163405,1631959463456,3
2000m,2000Mi,1,1,1,1631959463399,1631959763460,4
2000m,2000Mi,2,1,1,1631959883631,1631960183686,0
2000m,2000Mi,2,1,1,1631960183632,1631960483691,1
2000m,2000Mi,2,1,1,1631960483635,1631960783696,2
2000m,2000Mi,2,1,1,1631960783639,1631961083699,3
2000m,2000Mi,2,1,1,1631961083642,1631961383698,4
2000m,2000Mi,3,1,1,1631961594229,1631961894309,0
2000m,2000Mi,3,1,1,1631961894256,1631962194319,1
2000m,2000Mi,3,1,1,1631962194261,1631962494326,2
2000m,2000Mi,3,1,1,1631962494268,1631963780939,3
2000m,2000Mi,3,1,1,1631963780888,1631964080949,4
2000m,2000Mi,all,1,1,1631964441691,1631964741750,0
2000m,2000Mi,all,1,1,1631964741692,1631965041771,1
2000m,2000Mi,all,1,1,1631965041712,1631967267155,2
2000m,2000Mi,all,1,1,1631967267098,1631967567166,3
2000m,2000Mi,all,1,1,1631967567110,1631967867168,4
2000m,2000Mi,1,1,20,1631967946080,1631968246138,0
2000m,2000Mi,1,1,20,1631968246084,1631968546142,1
2000m,2000Mi,1,1,20,1631968546088,1631968846147,2
2000m,2000Mi,1,1,20,1631968846092,1631969146155,3
2000m,2000Mi,1,1,20,1631969146098,1631969446155,4
2000m,2000Mi,2,1,20,1631969566289,1631969866371,0
2000m,2000Mi,2,1,20,1631969866315,1631970166372,1
2000m,2000Mi,2,1,20,1631970166316,1631971467966,2
2000m,2000Mi,2,1,20,1631971467913,1631971767970,3
2000m,2000Mi,2,1,20,1631971767914,1631972067975,4
2000m,2000Mi,3,1,20,1631972498192,1631974604496,0
2000m,2000Mi,3,1,20,1631974604448,1631974904501,1
2000m,2000Mi,3,1,20,1631974904444,1631975204497,2
2000m,2000Mi,3,1,20,1631975204440,1631975504553,3
2000m,2000Mi,3,1,20,1631975504506,1631975804565,4
2000m,2000Mi,all,1,20,1631976183937,1631976483993,0
2000m,2000Mi,all,1,20,1631976483938,1631977785101,1
2000m,2000Mi,all,1,20,1631977785045,1631978085103,2
2000m,2000Mi,all,1,20,1631978085046,1631978385078,3
2000m,2000Mi,all,1,20,1631978385024,1631978685081,4
2000m,2000Mi,1,1,1024,1631978764365,1631979064422,0
2000m,2000Mi,1,1,1024,1631979064366,1631979364421,1
2000m,2000Mi,1,1,1024,1631979364363,1631979664422,2
2000m,2000Mi,1,1,1024,1631979664365,1631981429053,3
2000m,2000Mi,1,1,1024,1631981429002,1631981729059,4
2000m,2000Mi,2,1,1024,1631981867727,1631982167785,0
2000m,2000Mi,2,1,1024,1631982167728,1631982467790,1
2000m,2000Mi,2,1,1024,1631982467737,1631982767793,2
2000m,2000Mi,2,1,1024,1631982767738,1631983067794,3
2000m,2000Mi,2,1,1024,1631983067737,1631985223848,4
2000m,2000Mi,3,1,1024,1631985452978,1631985753010,0
2000m,2000Mi,3,1,1024,1631985752953,1631986052996,1
2000m,2000Mi,3,1,1024,1631986052941,1631986352995,2
2000m,2000Mi,3,1,1024,1631986352939,1631988245307,3
2000m,2000Mi,3,1,1024,1631988245252,1631988545305,4
2000m,2000Mi,all,1,1024,1631988924474,1631989224532,0
2000m,2000Mi,all,1,1024,1631989224476,1631989524531,1
2000m,2000Mi,all,1,1024,1631989524475,1631989824550,2
2000m,2000Mi,all,1,1024,1631989824493,1631992007866,3
2000m,2000Mi,all,1,1024,1631992007817,1631992307879,4
2000m,2000Mi,1,1.2,1,1632007024646,1632007324704,0
2000m,2000Mi,1,1.2,1,1632007324647,1632008586241,1
2000m,2000Mi,1,1.2,1,1632008586188,1632009774699,2
2000m,2000Mi,1,1.2,1,1632009774642,1632010074707,3
2000m,2000Mi,1,1.2,1,1632010074649,1632010374714,4
2000m,2000Mi,2,1.2,1,1632010453333,1632010753397,0
2000m,2000Mi,2,1.2,1,1632010753340,1632011053360,1
2000m,2000Mi,2,1.2,1,1632011053302,1632011353359,2
2000m,2000Mi,2,1.2,1,1632011353302,1632012681429,3
2000m,2000Mi,2,1.2,1,1632012681378,1632012981434,4
2000m,2000Mi,3,1.2,1,1632013060563,1632013360616,0
2000m,2000Mi,3,1.2,1,1632013360559,1632013660634,1
2000m,2000Mi,3,1.2,1,1632013660577,1632013960628,2
2000m,2000Mi,3,1.2,1,1632013960571,1632014260626,3
2000m,2000Mi,3,1.2,1,1632014260568,1632014560618,4
2000m,2000Mi,all,1.2,1,1632014621147,1632016888335,0
2000m,2000Mi,all,1.2,1,1632016888455,1632017188558,1
2000m,2000Mi,all,1.2,1,1632017188501,1632017488558,2
2000m,2000Mi,all,1.2,1,1632017488501,1632017788555,3
2000m,2000Mi,all,1.2,1,1632017788498,1632018088634,4
2000m,2000Mi,1,1.2,20,1632018167441,1632018467502,0
2000m,2000Mi,1,1.2,20,1632018467444,1632020726349,1
2000m,2000Mi,1,1.2,20,1632020726408,1632021026362,2
2000m,2000Mi,1,1.2,20,1632021026304,1632021326359,3
2000m,2000Mi,1,1.2,20,1632021326302,1632021626453,4
2000m,2000Mi,2,1.2,20,1632021705101,1632022005164,0
2000m,2000Mi,2,1.2,20,1632022005107,1632022305170,1
2000m,2000Mi,2,1.2,20,1632022305112,1632023552986,2
2000m,2000Mi,2,1.2,20,1632023552929,1632023852995,3
2000m,2000Mi,2,1.2,20,1632023852938,1632024153003,4
2000m,2000Mi,3,1.2,20,1632024231813,1632024531877,0
2000m,2000Mi,3,1.2,20,1632024531820,1632024831914,1
2000m,2000Mi,3,1.2,20,1632024831857,1632025131925,2
2000m,2000Mi,3,1.2,20,1632025131867,1632025431932,3
2000m,2000Mi,3,1.2,20,1632025431875,1632025731936,4
2000m,2000Mi,all,1.2,20,1632026699406,1632027948605,0
2000m,2000Mi,all,1.2,20,1632027948549,1632028248614,1
2000m,2000Mi,all,1.2,20,1632028248557,1632028548632,2
2000m,2000Mi,all,1.2,20,1632028548575,1632028848635,3
2000m,2000Mi,all,1.2,20,1632028848578,1632029148644,4
2000m,2000Mi,1,1.2,1024,1632029209099,1632030433245,0
2000m,2000Mi,1,1.2,1024,1632030433304,1632031430132,1
2000m,2000Mi,1,1.2,1024,1632031430075,1632031730135,2
2000m,2000Mi,1,1.2,1024,1632031730079,1632032030167,3
2000m,2000Mi,1,1.2,1024,1632032030110,1632032330169,4
2000m,2000Mi,2,1.2,1024,1632032390340,1632032690393,0
2000m,2000Mi,2,1.2,1024,1632032690335,1632032990397,1
2000m,2000Mi,2,1.2,1024,1632032990339,1632035197515,2
2000m,2000Mi,2,1.2,1024,1632035197458,1632035497504,3
2000m,2000Mi,2,1.2,1024,1632035497446,1632035797494,4
2000m,2000Mi,3,1.2,1024,1632035876628,1632036176757,0
2000m,2000Mi,3,1.2,1024,1632036176703,1632036476764,1
2000m,2000Mi,3,1.2,1024,1632036476707,1632036776768,2
2000m,2000Mi,3,1.2,1024,1632036776711,1632037980534,3
2000m,2000Mi,3,1.2,1024,1632037980477,1632038280534,4
2000m,2000Mi,all,1.2,1024,1632038341279,1632038641342,0
2000m,2000Mi,all,1.2,1024,1632038641285,1632038941338,1
2000m,2000Mi,all,1.2,1024,1632038941281,1632039241339,2
2000m,2000Mi,all,1.2,1024,1632039241282,1632039541347,3
2000m,2000Mi,all,1.2,1024,1632039541290,1632039841348,4
2000m,2000Mi,2,0.8,1,1641841998319,1641842298377,4
2000m,2000Mi,3,0.8,1,1641842358681,1641842658742,0
2000m,2000Mi,3,0.8,1,1641842658686,1641843738524,1
2000m,2000Mi,3,0.8,1,1641843738476,1641844962152,2
2000m,2000Mi,3,0.8,1,1641844962095,1641845262160,3
2000m,2000Mi,3,0.8,1,1641845262103,1641845562168,4
